ลำดับ,ภูมิภาค,รหัสจังหวัด,จังหวัด (ไทย),จังหวัด (อังกฤษ),รหัสอำเภอ,อำเภอ/เขต (ไทย),อำเภอ/เขต (อังกฤษ),รหัสตำบล,ตำบล/แขวง (ไทย),ตำบล/แขวง (อังกฤษ),รหัสไปรษณีย์
91,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1022,ภาษีเจริญ,Phasi Charoen,102202,บางด้วน,Bang Duan,10160
92,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1022,ภาษีเจริญ,Phasi Charoen,102206,บางจาก,Bang Chak,10160
93,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1022,ภาษีเจริญ,Phasi Charoen,102207,บางแวก,Bang Waek,10160
94,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1022,ภาษีเจริญ,Phasi Charoen,102208,คลองขวาง,Khlong Khwang,10160
95,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1022,ภาษีเจริญ,Phasi Charoen,102209,ปากคลองภาษีเจริญ,Pak Khlong Phasi Charoen,10160
96,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1022,ภาษีเจริญ,Phasi Charoen,102210,คูหาสวรรค์,Khuha Sawan,10160
97,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1023,หนองแขม,Nong Khaem,102302,หนองแขม,Nong Khaem,10160
98,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1023,หนองแขม,Nong Khaem,102303,หนองค้างพลู,Nong Khang Phlu,10160
99,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1024,ราษฎร์บูรณะ,Rat Burana,102401,ราษฎร์บูรณะ,Rat Burana,10140
100,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1024,ราษฎร์บูรณะ,Rat Burana,102402,บางปะกอก,Bang Pa Kok,10140
101,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1025,บางพลัด,Bang Phlat,102501,บางพลัด,Bang Phlat,10700
102,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1025,บางพลัด,Bang Phlat,102502,บางอ้อ,Bang O,10700
103,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1025,บางพลัด,Bang Phlat,102503,บางบำหรุ,Bang Bamru,10700
104,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1025,บางพลัด,Bang Phlat,102504,บางยี่ขัน,Bang Yi Khan,10700
105,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1026,ดินแดง,Din Daeng,102601,ดินแดง,Din Daeng,10400
106,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1026,ดินแดง,Din Daeng,102602,รัชดาภิเษก,Ratchadaphisek,10400
107,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1027,บึงกุ่ม,Bung Kum,102701,คลองกุ่ม,Khlong Kum,10240
108,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1027,บึงกุ่ม,Bung Kum,102704,นวมินทร์,Nawamin,10240
109,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1027,บึงกุ่ม,Bung Kum,102705,นวลจันทร์,Nuan Chan,10240
